DATE_REPORTED,WEAPONS,SNA_NEIGHBORHOOD
11/06/2019 12:28:00 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",MT. WASHINGTON
11/06/2019 01:07:00 AM,U - UNKNOWN,WALNUT HILLS
11/06/2019 01:07:00 AM,U - UNKNOWN,WALNUT HILLS
11/06/2019 01:30:00 AM,99 - NONE,CUF
11/06/2019 01:55:00 AM,99 - NONE,CARTHAGE
11/06/2019 02:20:00 AM,99 - NONE,N/A
11/06/2019 02:20:00 AM,99 - NONE,N/A
11/06/2019 02:51:00 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",N/A
11/06/2019 03:29:00 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",AVONDALE
11/06/2019 04:38:00 AM,U - UNKNOWN,EAST PRICE HILL
11/06/2019 05:36:38 AM,99 - NONE,SAYLER PARK
11/06/2019 06:28:05 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",AVONDALE
11/06/2019 06:28:05 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",AVONDALE
11/06/2019 06:42:00 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",CUF
11/06/2019 07:02:30 AM,12 - HANDGUN,SOUTH CUMMINSVILLE
11/06/2019 07:02:30 AM,12 - HANDGUN,SOUTH CUMMINSVILLE
11/06/2019 07:02:30 AM,12 - HANDGUN,SOUTH CUMMINSVILLE
11/06/2019 07:02:30 AM,12 - HANDGUN,SOUTH CUMMINSVILLE
11/06/2019 08:40:00 AM,99 - NONE,WALNUT HILLS
11/06/2019 08:44:00 AM,99 - NONE,NORTHSIDE
11/06/2019 08:44:00 AM,99 - NONE,NORTHSIDE
11/06/2019 09:00:00 AM,99 - NONE,NORTH FAIRMOUNT
11/06/2019 09:00:00 AM,99 - NONE,WESTWOOD
11/06/2019 09:52:07 AM,99 - NONE,OAKLEY
11/06/2019 10:00:00 AM,99 - NONE,MILLVALE
11/06/2019 10:00:08 AM,"20 - KNIFE/CUTTING INSTRUMENT (ICEPICK, AX, ETC.)",BOND HILL
11/06/2019 11:47:00 AM,"20 - KNIFE/CUTTING INSTRUMENT (ICEPICK, AX, ETC.)",OAKLEY
11/06/2019 11:47:00 AM,"20 - KNIFE/CUTTING INSTRUMENT (ICEPICK, AX, ETC.)",OAKLEY
11/06/2019 12:13:28 PM,12 - HANDGUN,MILLVALE
11/06/2019 12:15:00 PM,U - UNKNOWN,SOUTH FAIRMOUNT
11/06/2019 12:26:00 PM,U - UNKNOWN,NORTH AVONDALE - PADDOCK HILLS
11/06/2019 12:26:00 PM,U - UNKNOWN,NORTH AVONDALE - PADDOCK HILLS
11/06/2019 12:26:08 PM,99 - NONE,WEST PRICE HILL
11/06/2019 12:35:00 PM,99 - NONE,LINWOOD
11/06/2019 12:39:00 PM,U - UNKNOWN,MT. LOOKOUT
11/06/2019 12:39:00 PM,U - UNKNOWN,MT. LOOKOUT
11/06/2019 12:44:58 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",WEST END
11/06/2019 12:50:00 PM,99 - NONE,NORTHSIDE
11/06/2019 12:50:00 PM,99 - NONE,NORTHSIDE
